PLAYER,PLAYTYPE,FREQ,RTS_IMPACT
Tyler Herro,Creation,25,7.2
Tyler Herro,Spacing,44,5.6
Tyler Herro,Transition,25,4.1
Tyler Herro,Finishing,6,4.5
Kasparas Jakucionis,Creation,12,-3.1
Kasparas Jakucionis,Spacing,52,8.7
Kasparas Jakucionis,Transition,26,-3.4
Kasparas Jakucionis,Finishing,10,-4.1
Kel'el Ware,Creation,5,-14.5
Kel'el Ware,Spacing,27,4.8
Kel'el Ware,Transition,19,4.6
Kel'el Ware,Finishing,49,-0.3
Jaime Jaquez Jr.,Creation,27,-5.3
Jaime Jaquez Jr.,Spacing,32,-5.4
Jaime Jaquez Jr.,Transition,29,0.8
Jaime Jaquez Jr.,Finishing,12,11.1