ACCOMPLISHMENT,VALUE,NOTES
Championships,1,2021
Finals MVPs,1,2021
NBA Cup Championships,1,2024
NBA Cup MVPs,1,2024
MVPs,2,2018-19 and 2019-20
Most Improved Player,1,2016-17
Defensive Player of the Year,1,2019-20
All-Defense selections,5,"4x NBA All-Defensive First Team, 1x NBA All-Defensive Second Team"
All-NBA selections,9,"7x All-NBA First Team, 2x All-NBA Second Team"
All-Star selections,10,
25+ PPG seasons,9,2017-18 through 2025-26
40-point games,64,"56 regular season, 8 playoffs"
50-point games,10,"9 regular season, 1 playoffs"
60-point games,1,1 regular season
Playoff series wins,8,
Playoff wins,44,